,date,team1,team1_score,team2,team2_score,winner,map
559,2021-12-16 18:00,Into the Breach,16,Linx Legacy,11,Into the Breach,Ancient
560,2021-12-17 16:00,Linx Legacy,14,Nemiga,16,Nemiga,Mirage
561,2021-12-15 18:00,SKADE,16,Linx Legacy,14,SKADE,Inferno
562,2021-12-17 21:00,Astralis,9,Liquid,16,Liquid,Dust2
563,2022-01-30 19:20,Evil Geniuses,17,Liquid,19,Liquid,Inferno
564,2022-01-30 16:00,FaZe,19,Liquid,15,FaZe,Inferno
565,2021-12-16 17:35,Liquid,16,Gambit,13,Liquid,Vertigo
566,2021-12-18 19:35,Natus Vincere,16,Liquid,10,Natus Vincere,Dust2
567,2022-01-16 20:10,CLG Red,16,Little Bocks,6,CLG Red,Vertigo
568,2022-01-30 20:00,CLG Red,16,Little Bocks,8,CLG Red,Mirage
569,2022-01-26 18:15,Eternal Fire,16,LookingForOrg,3,Eternal Fire,Vertigo
570,2022-01-20 16:00,LookingForOrg,16,HAVU,3,LookingForOrg,Overpass
571,2022-01-19 09:00,LookingForOrg,16,MASONIC,13,LookingForOrg,Ancient
572,2021-12-20 08:00,ORDER,10,LookingForOrg,16,LookingForOrg,Dust2
573,2021-12-18 10:00,Paradox,9,LookingForOrg,16,LookingForOrg,Inferno
574,2022-01-20 09:00,Tricked,16,LookingForOrg,10,Tricked,Nuke
575,2022-01-17 18:00,Unique,16,LookingForOrg,9,Unique,Dust2
576,2021-12-16 08:00,LookingForOrg,16,VERTEX,7,LookingForOrg,Inferno
577,2022-01-18 12:00,LookingForOrg,10,Wisla Krakow,16,Wisla Krakow,Overpass
578,2022-01-24 10:00,Los Reyes,9,1WIN,16,1WIN,Nuke
579,2022-01-22 16:00,Los Reyes,16,PACT,14,Los Reyes,Nuke
580,2022-01-17 13:00,Unique,12,Los Reyes,16,Los Reyes,Overpass
581,2022-01-17 20:00,HellRaisers,16,LPSP,10,HellRaisers,Mirage
582,2022-01-17 20:00,HellRaisers,11,LPSP,16,LPSP,Inferno
583,2022-01-22 10:00,LPSP,9,Young Ninjas,16,Young Ninjas,Overpass
584,2022-01-22 10:00,LPSP,7,Young Ninjas,16,Young Ninjas,Inferno
585,2022-01-19 15:00,Eternal Fire,16,Lynn Vision,9,Eternal Fire,Dust2
586,2022-01-31 18:15,Lynn Vision,12,fnatic Rising,16,fnatic Rising,Vertigo
