,team,Player,K,A,D,KAST,ADR,Rating,Best Rating,Most Kills,Most Damage,Most Assists,Most AWP Kills,Most First Kills
382,Finest,mar,23,1,9,90.9%,96.9,1.62,1.62,23,96.9,,,
383,Finest,anarkez,21,3,20,65.5%,70.6,0.95,,,,,,
384,Sprout,Staehr,24,3,15,70.8%,106.8,1.55,1.55,24,106.8,,,4
385,Tricked,kwezz,18,2,13,80.0%,81.7,1.28,1.28,,,,,
386,Tricked,larsen,25,4,13,82.1%,98.6,1.61,1.61,25,98.6,,17,
387,Finest,anarkez,25,6,20,73.3%,80.7,1.27,1.27,,,,20,
388,AGO,kRaSnaL,28,3,18,76.7%,93.9,1.52,1.52,28,93.9,,,8
389,AGO,F1KU,31,5,19,80.0%,90.1,1.32,,,,,,
390,Astralis Talent,brzer,26,3,19,63.3%,94.3,1.31,,,94.3,,,7
391,Astralis Talent,Fessor,25,9,19,76.7%,91.3,1.33,1.33,,,,,
392,fnatic Rising,Banjo,36,5,25,77.8%,101.9,1.54,1.54,36,101.9,,,8
393,BLINK,juanflatroo,18,2,15,72.7%,90.4,1.23,,,,,,
394,Lynn Vision,Starry,20,5,15,78.3%,93.7,1.35,,,93.7,,,
395,NAVI Junior,headtr1ck,20,5,22,76.7%,86.4,1.18,1.18,,86.4,,,
396,Young Ninjas,ztr,15,4,17,63.2%,72.7,0.94,,,,,,
397,fnatic,mezii,25,9,18,65.5%,95.2,1.22,,,,,,
398,Astralis,blameF,17,6,19,72.4%,69.4,1.03,,,,,,
399,fnatic,Brollan,31,8,23,69.4%,93.7,1.38,1.38,31,93.7,,,9
400,forZe,shalfey,21,4,8,90.0%,96.2,1.75,1.75,21,,4,,
401,Copenhagen Flames,jabbi,17,3,20,65.4%,81.9,1.01,,,,,,
402,Entropiq Prague,leckr,23,2,22,74.1%,89.0,1.16,,,,,,
403,Finest,kreaz,11,1,18,50.0%,66.7,0.70,,,,,,
404,HEET,bodyy,24,8,12,82.6%,115.3,1.73,1.73,24,115.3,5,,
405,Fourth Quarter,Seb,17,1,15,68.0%,73.2,1.00,,,,,,
406,Fourth Quarter,Seb,29,5,17,76.0%,109.9,1.56,,29,,,,
407,DBL PONEY,afro,23,2,19,62.1%,76.1,1.18,,,,,,
408,DBL PONEY,bodyy,28,5,16,84.0%,120.6,1.73,1.73,28,120.6,,,4
409,all aim no name,MoMo,28,3,17,75.0%,124.1,1.74,1.74,28,124.1,,,
410,Omega,LukeK,29,5,19,75.9%,101.1,1.48,,,,,,
411,Omega,gir,23,5,17,79.2%,104.1,1.53,1.53,,104.1,,,
412,FTW,ewjerkz,27,2,15,70.4%,91.1,1.44,1.44,27,,,,4
413,FTW,Ag1l,27,8,13,83.3%,106.8,1.63,1.63,27,106.8,,,
414,eXploit,rafaxF,24,5,15,64.3%,83.9,1.36,1.36,,,,17,5
415,eXploit,Shr,31,5,29,66.7%,98.2,1.22,,,98.2,,,
416,FTW,ewjerkz,27,4,15,79.2%,97.7,1.47,1.47,27,97.7,,,
417,Wisla Krakow,Sobol,24,7,12,83.3%,89.6,1.49,1.49,24,,,,
418,Eternal Fire Academy,colorzz,19,2,18,71.4%,81.6,1.16,1.16,,81.6,,,6
419,MOUZ NXT,szejn,25,5,18,82.1%,97.8,1.51,1.51,,,,,7
420,Spirit Academy,KaiR0N-,25,9,17,70.8%,126.2,1.61,1.61,25,126.2,9,,
421,VP.Prodigy,r3salt,24,9,14,68.0%,104.0,1.65,1.65,24,104.0,8,,5
422,FURIA Academy,zmb,14,5,17,63.6%,61.3,1.01,,,,,6,
423,FURIA,KSCERATO,17,1,15,68.2%,79.7,1.01,,,,,,
424,Natus Vincere,Perfecto,23,3,18,70.0%,76.6,1.19,,,,,,
425,G2,NiKo,34,4,17,70.0%,101.7,1.61,1.61,34,101.7,,,7
426,G2,NiKo,23,4,18,70.4%,106.4,1.36,1.36,23,106.4,,,7
427,G2,Aleksib,15,6,7,90.9%,83.1,1.50,1.50,,,,,
428,G2,NiKo,19,4,18,61.5%,90.8,1.19,,,,,,8
429,GAIJIN,Dementor,24,7,13,75.0%,112.2,1.64,1.64,24,112.2,,,
430,Galaxy Racer fe,tory,29,3,9,94.4%,158.7,2.48,2.48,29,158.7,,,6
431,Gambit,sh1ro,19,4,12,76.9%,69.4,1.30,1.30,,,,11,
432,Gambit,sh1ro,27,4,15,77.8%,99.4,1.62,,,,,12,6
433,Gambit,sh1ro,31,3,10,91.7%,108.8,1.95,1.95,31,108.8,,22,5
434,Entropiq,Forester,15,5,19,77.3%,69.5,1.01,,,,4,,
435,Liquid,NAF,19,2,17,66.7%,70.3,0.98,,,,,,
436,Liquid,Stewie2K,10,0,16,55.6%,71.1,0.74,,,,,,
437,Gambit,Ax1Le,26,3,15,74.1%,113.4,1.53,1.53,26,113.4,,,6
438,Gambit,HObbit,33,7,24,72.2%,93.1,1.24,,33,,,,
439,Ambush,SIXER,32,5,9,88.5%,115.1,1.94,1.94,32,115.1,,19,
440,Ambush,SoneSb,31,7,20,70.0%,110.7,1.50,1.50,31,110.7,,,
441,EC Brugge,matty,16,1,19,72.0%,62.4,0.98,,,,,,
442,VELOX,sausol,27,5,22,67.9%,100.7,1.22,,,100.7,,,
443,GamerLegion,RuStY,21,4,12,76.0%,82.4,1.33,1.33,21,,,,
444,GamerLegion,isak,29,6,21,75.0%,83.1,1.24,,,,,,
445,GamerLegion,eraa,23,6,20,70.0%,82.4,1.22,1.22,,,,19,8
446,GamerLegion,iM,14,4,15,77.3%,82.6,1.19,,,,,,7
447,GamerLegion,eraa,34,2,22,74.3%,103.6,1.46,1.46,34,103.6,,21,7
448,Enterprise,The eLiVe,17,4,19,77.3%,85.0,1.12,,,,,,
449,GamerLegion,isak,33,6,23,72.2%,90.2,1.30,,33,,,,
450,Eternal Fire,XANTARES,27,4,17,76.7%,93.3,1.47,1.47,,,,,6
451,K23,xsepower,19,3,10,77.3%,87.3,1.59,1.59,,,,18,
452,Savage,PlesseN,40,13,36,72.3%,108.8,1.34,1.34,40,108.8,12,,8
453,SKADE,SHiPZ,28,14,25,69.4%,92.9,1.25,,,,,,
454,GamerLegion,isak,29,8,24,75.0%,90.1,1.21,,,,,,
455,SKADE,SHiPZ,22,7,14,87.0%,108.1,1.68,1.68,22,108.1,7,,
456,Sprout,slaxz-,34,4,19,86.1%,81.1,1.36,1.36,34,,,20,
457,GamerLegion,iM,21,5,22,75.9%,79.1,1.14,,,,,,
458,GamerLegion,iM,23,4,18,88.9%,94.0,1.32,,23,,,,
459,Wisla Krakow,Sobol,24,5,11,83.3%,99.0,1.69,1.69,24,99.0,,,
460,Apeks,AcilioN,24,3,18,84.0%,95.6,1.43,1.43,24,95.6,,,5
461,Endpoint,CRUC1AL,23,4,15,75.9%,75.7,1.24,,,,,10,
462,Enterprise,ADEJIS,24,5,17,75.9%,90.3,1.42,1.42,24,90.3,,,
463,Enterprise,MATYS,47,8,34,74.5%,101.6,1.37,1.37,47,101.6,,,7
464,Savage,twist,30,3,16,82.1%,118.8,1.61,1.61,30,118.8,,,
465,Tricked,larsen,19,2,11,69.6%,85.8,1.48,1.48,19,,,11,6
466,Tricked,larsen,19,2,11,69.6%,85.8,1.48,1.48,19,,,11,6
467,GMT,RAiLWAY,26,9,19,76.7%,95.4,1.41,1.41,26,95.4,,,
468,Goliath,massacRe,30,5,16,75.0%,115.7,1.66,1.66,30,115.7,,,
469,B8,cptkurtka023,31,5,9,100.0%,157.8,2.63,2.63,31,157.8,5,,6
470,Dignitas,f0rest,26,4,18,80.0%,97.9,1.33,1.33,26,97.9,,,
471,Dignitas,Lekr0,32,4,19,83.3%,105.4,1.53,1.53,32,105.4,,,
472,LookingForOrg,Liki,23,3,20,76.7%,89.8,1.29,,,89.8,,,
473,HAVU,Aerial,21,2,19,80.0%,87.7,1.21,,,,,,
474,LookingForOrg,HaZR,31,1,14,81.8%,132.9,2.12,2.12,31,132.9,,,8
475,LookingForOrg,HaZR,27,2,10,100.0%,149.2,2.57,2.57,27,149.2,,,6
476,Hazard,supa,31,6,28,64.3%,88.0,1.09,,,,,,
477,Hazard,N1ghtraid,26,3,18,71.4%,94.4,1.42,,26,,,15,5
478,HEET,Ex3rcice,23,6,17,84.6%,79.2,1.23,,,,,,
479,AVE,svyat,42,11,36,77.4%,93.2,1.24,,,,9,,
480,HEET,Djoko,25,2,20,55.2%,85.8,1.19,,25,,,,
481,HEET,Lucky,30,6,16,77.8%,114.2,1.67,1.67,30,114.2,,,
482,HEET,Ex3rcice,16,3,17,62.5%,87.7,0.96,,,,,,
483,HEET,bodyy,19,9,21,70.6%,71.1,1.04,,,,,,
484,HEET,Ex3rcice,25,8,22,75.0%,80.7,1.20,,,,8,,
485,HellRaisers,w0nderful,21,4,14,80.0%,84.8,1.30,,,,,5,
486,Heroic,stavn,24,6,16,75.0%,100.9,1.36,1.36,24,100.9,,,
487,Natus Vincere,electroNic,35,2,24,73.5%,107.1,1.53,1.53,35,107.1,,,10
488,hxh,BLVCKM4GIC,24,7,22,65.5%,89.8,1.16,,,,,,
489,B8,cptkurtka023,22,8,16,86.4%,116.0,1.76,1.76,22,116.0,5,,8
490,okura,Woro2k,33,4,23,75.0%,91.0,1.31,1.31,33,91.0,,,
491,InControl,Andrew,22,4,17,76.2%,111.5,1.37,,,,,7,
492,all aim no name,MoMo,28,8,21,73.5%,92.5,1.32,1.32,,92.5,,,
493,Kinship Black,CLASIA,12,5,16,61.1%,76.8,0.83,,,,,,
494,Party Astronauts,ben1337,24,2,18,63.0%,86.9,1.26,,,,,,
495,DNG,BELCHONOKK,21,5,19,69.2%,105.5,1.31,1.31,,105.5,,,
496,DNG,Gospadarov,25,3,16,83.3%,104.2,1.48,,,,,,4
497,DNG,BELCHONOKK,24,4,22,65.5%,81.8,1.10,,,,,,
498,DNG,fix,27,3,20,72.4%,92.9,1.33,1.33,27,92.9,,,
499,Exalty,Snobling,33,11,16,84.6%,123.7,1.90,1.90,33,123.7,8,,
500,Exalty,Snobling,28,14,20,82.9%,101.0,1.44,1.44,,101.0,9,,
501,Into the Breach,CYPHER,23,5,21,70.0%,89.3,1.25,1.25,,,,,
502,Into the Breach,isk,21,6,13,62.1%,75.7,1.22,1.22,21,,,16,
503,1WIN,glowiing,16,5,17,69.6%,87.1,1.10,,,,3,,
504,1WIN,TRAVIS,26,5,13,80.0%,106.5,1.76,1.76,26,,,,5
505,Into the Breach,Adam9130,18,4,19,75.0%,84.0,1.21,,,,,,6
506,BIG Academy,Krimbo,23,9,19,76.0%,95.0,1.24,,23,,,,
507,BIG Academy,Krimbo,25,12,22,76.7%,109.8,1.32,,,109.8,8,,
508,Into the Breach,Tadpole,19,3,21,62.1%,84.9,0.99,,,,,,
509,EC Brugge,ritchiEE,24,4,21,70.4%,111.1,1.35,,,111.1,,,
510,EC Brugge,ritchiEE,24,5,19,76.9%,95.9,1.21,,,,,,
511,Entropiq,El1an,24,3,11,78.3%,91.4,1.55,1.55,24,,,12,
512,LDLC,Keoz,20,4,21,65.4%,87.0,1.17,,,,,,7
513,Into the Breach,isk,24,4,11,86.7%,80.2,1.46,1.46,24,80.2,,15,
514,Nexus,lauNX,30,7,18,89.3%,117.7,1.70,1.70,30,117.7,,,5
515,Into the Breach,CYPHER,31,5,22,79.3%,119.7,1.56,1.56,31,119.7,,,
516,PACT,reatz,16,2,19,56.0%,55.4,0.84,,,,,,
517,SAW,rmn,27,6,11,79.2%,124.4,1.82,1.82,27,124.4,,,
518,SAW,stadodo,21,4,14,80.8%,74.3,1.30,1.30,21,,,,
519,Astralis,blameF,22,3,9,91.7%,99.6,1.77,1.77,,,,,
520,Astralis,blameF,33,5,19,82.9%,104.3,1.54,1.54,33,104.3,,,
521,K23,fame,16,2,16,54.5%,56.1,0.88,,,,,,
522,K23,fame,28,0,8,91.7%,104.0,1.88,1.88,28,104.0,,,
523,K23,X5G7V,23,4,11,86.4%,126.1,1.71,1.71,23,126.1,,,
524,Copenhagen Flames,Zyphon,24,0,18,79.3%,69.9,1.25,1.25,24,,,,5
525,Dignitas,HEAP,21,2,13,84.6%,81.6,1.42,1.42,21,81.6,,,6
526,Dignitas,hallzerk,19,6,20,55.6%,74.5,0.93,,,,,,
527,ECSTATIC,FASHR,25,6,16,81.8%,128.7,1.84,1.84,25,128.7,6,,5
528,K23,X5G7V,23,2,19,73.3%,82.5,1.32,1.32,,,,,10
529,K23,neaLaN,19,1,17,60.0%,67.2,1.02,,,,,,
530,K23,neaLaN,28,6,19,79.3%,95.8,1.33,1.33,28,95.8,,,
531,HEET,bodyy,34,10,20,85.7%,102.0,1.54,1.54,34,102.0,,,
532,Heroic,refrezh,26,3,17,80.0%,95.5,1.29,,26,95.5,,,
533,Heroic,stavn,22,9,18,63.3%,82.9,1.15,,,,,,
534,MOUZ NXT,mhL,16,4,19,56.0%,70.8,0.88,,,,,,
535,SINNERS,NEOFRAG,20,2,14,79.2%,86.0,1.29,,,,,,
536,SINNERS,forsyy,24,4,15,70.0%,94.0,1.38,1.38,24,94.0,,,
537,SINNERS,forsyy,16,2,19,59.3%,69.7,0.93,,,,,,
538,SKADE,SHiPZ,27,4,22,74.1%,101.8,1.48,1.48,27,,,,10
539,SKADE,dennyslaw,27,10,23,74.3%,79.8,1.14,,,,8,,
540,Sprout,slaxz-,11,2,16,47.1%,65.2,0.71,,,,,6,
541,UNGENTIUM,GruBy,14,0,16,57.9%,61.3,0.81,,,,,,
542,KappaB,Karma,16,2,20,65.2%,75.9,0.91,,,,,,
543,KappaB,pupcake,31,2,25,70.6%,80.9,1.11,,31,,,,
544,Fourth Quarter,Gonzo,26,7,19,78.6%,104.7,1.54,1.54,26,104.7,5,,
545,Kinship Black,Cryptic,27,12,17,93.1%,107.3,1.64,1.64,27,107.3,9,,
546,Kinship Black,Cryptic,24,9,22,73.3%,95.6,1.29,1.29,24,95.6,,,5
547,Kinship,garfield,20,8,21,80.0%,95.0,1.17,,,,8,,
548,KOVA,Twixie,23,2,21,73.3%,74.4,1.16,,,,,,6
549,UNGENTIUM,m4tthi,20,7,13,77.3%,96.9,1.69,1.69,20,96.9,,12,5
550,LDLC,Maka,23,4,20,82.1%,87.7,1.22,,,,,,6
551,Nemiga,iDISBALANCE,25,4,14,82.1%,81.6,1.43,,,,,,
552,LDLC,SIXER,19,6,11,85.7%,115.0,1.66,1.66,,115.0,6,,5
553,LDLC,SIXER,14,3,15,66.7%,71.1,0.86,,,,,,
554,Conquer,Jimpphat,22,6,18,81.5%,93.3,1.28,,,,5,,
555,Liberty fe,josi,28,3,10,91.7%,97.9,1.72,1.72,28,97.9,,,
556,MIBR fe,LyttleZ,30,5,19,69.0%,107.7,1.49,1.49,30,107.7,,,
557,Liberty,skullz,14,3,15,61.1%,80.3,0.91,,,,,,
558,Liberty,dok,37,6,27,73.8%,81.9,1.31,1.31,37,,,,
559,Into the Breach,Adam9130,27,6,18,85.2%,104.6,1.54,1.54,27,104.6,,,
560,Linx Legacy,Ryxxo,25,4,19,76.7%,87.8,1.32,1.32,25,87.8,,,
561,SKADE,bubble,26,7,20,70.0%,101.0,1.39,1.39,26,101.0,,,6
562,Astralis,Xyp9x,20,4,16,44.0%,79.4,1.17,,,,,,
563,Evil Geniuses,RUSH,24,8,23,77.8%,83.8,1.18,,,,,,
564,FaZe,ropz,34,5,18,82.4%,102.3,1.60,1.60,34,102.3,,,
565,Liquid,NAF,22,4,15,72.4%,73.5,1.20,,,,,,
566,Natus Vincere,s1mple,22,6,16,73.1%,87.5,1.39,1.39,,,,12,6
567,CLG Red,Juli,27,7,12,95.5%,119.5,2.01,2.01,27,119.5,,,5
568,CLG Red,uhKelsie,21,2,11,91.7%,78.8,1.55,1.55,21,,,,
569,Eternal Fire,imoRR,19,2,8,78.9%,101.6,1.84,1.84,19,,,,
570,LookingForOrg,HaZR,22,5,12,89.5%,124.9,1.88,1.88,,124.9,,,5
571,LookingForOrg,Liki,21,6,16,89.7%,79.4,1.40,1.40,,,,,7
572,ORDER,Vexite,21,6,21,69.2%,88.1,1.18,,,88.1,,,5
573,Paradox,DannyG,20,4,19,68.0%,89.6,1.29,,,,,,7
574,Tricked,PR1mE,24,3,15,84.6%,105.7,1.64,1.64,24,105.7,,,9
575,Unique,smiley,25,11,11,76.0%,112.7,1.76,1.76,25,112.7,7,15,6
576,LookingForOrg,ap0c,25,6,14,82.6%,112.8,1.71,1.71,25,112.8,,,5
577,LookingForOrg,sterling,17,3,16,73.1%,70.1,1.18,,,,,11,
578,Los Reyes,thamlike,17,1,15,76.0%,71.4,1.07,,,,,,
579,Los Reyes,Ryxxo,26,3,14,70.0%,88.2,1.39,1.39,26,,,12,
580,Unique,dukefissura,29,2,21,82.1%,101.9,1.53,1.53,29,101.9,,,5
581,HellRaisers,w0nderful,21,4,10,80.8%,90.4,1.51,1.51,,90.4,,15,6
582,HellRaisers,w0nderful,20,5,17,74.1%,73.2,1.12,,,,,10,
583,LPSP,NaToSaphiX,22,4,14,80.0%,76.0,1.31,,22,,,11,
584,LPSP,notaN,14,4,16,65.2%,60.6,0.92,,,,,,
585,Eternal Fire,XANTARES,26,6,14,80.0%,105.4,1.66,1.66,26,105.4,,,4
586,Lynn Vision,Starry,28,7,19,78.6%,102.3,1.47,1.47,,102.3,,,
587,HAVU,sLowi,21,9,14,83.3%,94.3,1.46,1.46,,94.3,6,,
588,HAVU,Sm1llee,28,2,15,89.3%,93.9,1.54,1.54,28,,,,
589,Apeks,jkaem,25,3,17,69.6%,98.7,1.45,1.45,25,98.7,,,5
590,LookingForOrg,EspiranTo,30,4,17,72.4%,108.4,1.57,1.57,30,108.4,,,
591,Savage,draken,20,4,5,94.4%,106.4,2.11,2.11,,,,14,6
592,MIBR fe,fly,22,8,22,73.3%,82.1,1.12,,,,,,
593,MIBR,brnz4n,21,2,15,64.0%,84.0,1.24,,21,,,,
594,Liberty,kye,23,3,21,74.1%,81.1,1.14,,23,,,,
595,MIBR,chelo,26,7,18,77.8%,113.9,1.55,,,113.9,,,
596,Sharks,zevy,23,4,11,91.7%,100.1,1.61,1.61,23,100.1,,9,4
597,MIBR,chelo,21,5,13,77.8%,83.3,1.44,1.44,,,,,
598,MIBR,chelo,27,2,18,70.0%,86.1,1.37,1.37,27,,,,6
599,MongolZ,castro,14,3,18,55.0%,88.5,0.95,,,,3,,4
600,1shot,Get_Jeka,14,1,15,52.6%,62.9,0.87,,,,,,
601,1shot,faydett,22,4,20,73.1%,94.8,1.34,1.34,22,94.8,,,7
602,Moon,Ton,14,3,18,61.9%,81.0,0.84,,,,,,
603,Eternal Fire Academy,Kenshin,18,3,17,72.0%,95.1,1.10,,,,,,
604,FURIA Academy,kauez,17,1,16,61.9%,72.3,1.03,,,,,,
605,MOUZ NXT,siuhy,32,5,25,66.7%,88.6,1.28,,,,,,
606,MOUZ NXT,mhL,22,5,20,57.1%,75.2,1.09,,,,,12,
607,MOUZ NXT,mhL,27,2,14,70.8%,108.7,1.69,1.69,27,108.7,,21,
608,MOUZ NXT,mhL,30,5,14,86.2%,95.9,1.59,1.59,30,95.9,,14,6
609,Spirit Academy,KaiR0N-,20,2,19,81.8%,99.0,1.29,,,99.0,,,5
610,MOUZ NXT,siuhy,25,3,19,63.3%,82.8,1.31,,,,,,5
611,MOUZ NXT,JDC,26,1,19,69.0%,84.9,1.20,,26,,,,
612,MOUZ NXT,mhL,26,8,9,82.6%,116.6,1.91,1.91,26,116.6,,18,6
613,MOUZ NXT,mhL,30,4,17,75.0%,90.6,1.44,1.44,30,,,17,
614,GAIJIN,MALI,27,3,17,63.0%,95.2,1.44,,,,,,
615,Natus Vincere,s1mple,36,4,26,73.2%,88.2,1.35,1.35,36,88.2,,17,8
616,Natus Vincere,s1mple,30,4,10,90.0%,133.1,2.21,2.21,30,133.1,,22,
617,Gambit,Ax1Le,17,4,18,55.6%,70.4,0.99,,,,,,
618,Gambit,HObbit,14,1,17,59.1%,64.9,0.81,,,,,,
619,Natus Vincere,electroNic,25,7,11,81.8%,123.5,1.92,1.92,25,123.5,6,,6
620,Natus Vincere,s1mple,33,4,13,92.6%,111.3,1.92,1.92,33,111.3,,,8
621,Natus Vincere,electroNic,21,8,23,71.4%,90.3,1.09,,,,,,
622,Vitality,misutaaa,12,3,19,47.6%,64.6,0.81,,,,,,4
623,NAVI Junior,latt1kk,28,3,17,80.0%,80.1,1.46,1.46,28,,,20,
624,Astralis Talent,Altekz,22,5,18,75.9%,94.0,1.25,,,94.0,5,,
625,NAVI Junior,headtr1ck,17,4,17,58.3%,86.5,1.01,,,,,,
626,BIG Academy,Krimbo,13,4,16,70.0%,79.1,0.92,,,,,,
627,fnatic Rising,kst,43,6,31,77.1%,88.8,1.29,,43,,,,
628,NAVI Junior,headtr1ck,37,2,17,74.1%,136.6,1.97,1.97,37,136.6,,,
629,Nemiga,Jyo,20,3,19,64.0%,94.7,1.25,,,,,,
630,1WIN,deko,19,3,18,73.1%,88.3,1.12,,,88.3,,,
631,1WIN,deko,23,2,6,80.0%,104.1,2.00,2.00,23,104.1,,10,4
632,1WIN,glowiing,24,2,14,87.5%,94.2,1.55,1.55,,,,,5
633,Copenhagen Flames,nicoodoz,7,2,16,43.8%,51.0,0.47,,,,,,
634,ECSTATIC,maNkz,18,7,19,69.0%,72.1,0.97,,,,,,
635,Entropiq,El1an,20,3,13,70.8%,78.8,1.25,,,,,13,
636,HEET,afro,21,2,18,72.4%,81.0,1.30,1.30,,,,12,6
637,HEET,Ex3rcice,9,0,16,58.8%,62.9,0.68,,,,,,
638,Nemiga,iDISBALANCE,17,3,17,60.9%,78.8,0.95,,,,,,
639,Nemiga,iDISBALANCE,15,4,16,68.2%,76.6,1.02,,,,,12,
640,Linx Legacy,notaN,20,3,14,54.5%,101.0,1.45,1.45,,101.0,,,
641,Nemiga,iDISBALANCE,18,3,3,94.7%,105.2,1.94,1.94,,,,12,
642,Nexus,XELLOW,32,9,26,61.0%,81.1,1.16,,,,,,
643,Nexus,lauNX,16,3,19,69.6%,82.7,1.01,,,,,,
644,Nexus,ragga,29,4,13,84.6%,112.3,1.79,1.79,29,112.3,,,
645,NIP,REZ,28,8,21,80.0%,108.2,1.49,1.49,28,108.2,8,,5
646,NIP,phzy,30,5,24,68.6%,85.4,1.18,,,,,12,
647,NIP,hampus,28,5,18,78.6%,100.2,1.44,1.44,28,100.2,,,
648,G2,NiKo,25,3,20,70.4%,103.8,1.41,1.41,25,103.8,,,7
649,G2,huNter-,30,7,28,65.9%,85.0,1.16,1.16,30,,,,
650,NKT,xccurate,18,2,22,57.7%,74.4,0.87,,,,,11,5
651,Enterprise,The eLiVe,13,2,17,65.2%,58.7,0.82,,,,,,
652,Northern Forces,sam,21,1,18,65.4%,87.0,1.08,,,,,,
653,Northern Forces,JAM,22,4,18,87.0%,88.9,1.35,,,,,,5
654,Northern Forces,JAM,21,3,16,76.0%,79.8,1.13,,,,,7,
655,Meinser,hurr1cane,19,2,20,67.9%,68.0,1.04,,,,,14,5
656,Meinser,Atoms,24,1,22,69.0%,87.1,1.14,,,87.1,,,
657,OFFSET,RIZZZ,16,2,16,55.0%,78.4,0.91,,,,,,
658,eSuba,Blogg1s,16,0,16,61.1%,72.9,1.02,,,,,,
659,Into the Breach,Tadpole,24,4,17,77.8%,91.3,1.34,1.34,24,91.3,,,
660,Astralis,blameF,18,3,19,70.8%,80.8,1.16,,,,,,5
661,OG,valde,30,4,11,91.7%,115.2,2.01,2.01,30,115.2,,,7
662,MIBR,Tuurtle,16,1,19,68.0%,70.3,0.89,,,,,,
663,okura,t0kk,25,3,19,70.0%,84.8,1.26,,,,,,
664,okura,t0kk,26,4,22,66.7%,114.1,1.29,,,114.1,,,
665,okura,Woro2k,26,5,21,65.5%,98.4,1.17,,,98.4,,19,
666,okura,1mpact,24,4,27,69.4%,77.6,1.09,,,,,,
667,Omega,gir,24,4,22,70.4%,97.3,1.19,,,97.3,,,
668,ONET4P,Fr3nk1e,21,6,9,90.0%,112.8,1.82,1.82,21,112.8,,,
669,RBG,HexT,22,5,7,94.1%,128.9,2.23,2.23,22,128.9,,,
670,RBG,HexT,29,3,13,85.7%,116.5,1.98,1.98,29,116.5,,,
671,RBG,Walco,27,1,13,78.3%,104.8,1.72,1.72,27,104.8,,,7
672,ONET4P,Elk,23,2,21,76.0%,87.7,1.15,,,87.7,,,
673,ONET4P,walker,23,4,18,71.4%,87.4,1.27,,,,4,,
674,ONET4P,Fr3nk1e,28,4,19,81.5%,96.6,1.47,1.47,28,96.6,,,5
675,Apeks,chawzyyy,23,5,15,75.9%,81.2,1.33,,,,,,
676,Enterprise,manguss,22,2,15,77.8%,88.1,1.32,1.32,22,88.1,,,
677,Enterprise,manguss,22,2,15,77.8%,88.1,1.32,1.32,22,88.1,,,
678,OneTap,smekk-,34,6,27,77.8%,105.8,1.44,1.44,34,105.8,,,
679,OneTap,GEOHYPE,19,2,18,73.1%,81.4,1.07,,,,,,
680,8Ballers,Shoey,7,2,16,43.8%,46.2,0.53,,,,,,
681,ORDER,Valiance,31,3,20,80.0%,111.4,1.45,,31,111.4,,,
682,ORDER,Valiance,31,8,21,83.3%,96.6,1.44,1.44,31,,,,
683,ORDER,Vexite,25,9,19,65.5%,81.4,1.16,,,,,,
684,Paradox,nettik,19,5,19,75.0%,79.8,1.21,,,,,,6
685,VERTEX,apocdud,36,8,29,68.3%,99.3,1.29,1.29,,99.3,,,
686,ChocoCheck,nosraC,21,5,20,62.1%,83.0,1.09,,,,,,
687,Orgless,Infinite,20,7,13,69.6%,91.3,1.38,1.38,,91.3,,,
688,Orgless,Minus,23,2,16,76.0%,70.7,1.26,,,,,12,
689,Hazard,N1ghtraid,26,2,20,70.0%,84.5,1.28,,,,,15,6
690,Overt,SkulL,21,6,20,70.4%,72.6,1.07,,,,,,
691,PACT,lunAtic,24,4,11,82.6%,109.6,1.73,1.73,24,109.6,,,6
692,PACT,Sobol,25,10,22,80.0%,97.8,1.34,1.34,,97.8,,,
693,LDLC,Maka,25,3,14,86.2%,85.4,1.50,1.50,,,,16,
694,Los Reyes,jarko,23,9,17,73.3%,90.4,1.30,,,,9,,
695,Nemiga,BELCHONOKK,23,5,15,75.0%,97.8,1.54,1.54,,,,,
696,PACT,bnox,28,4,18,63.3%,94.2,1.35,1.35,28,,,,6
697,PACT,Sobol,18,2,14,83.3%,95.6,1.22,,,,,,
698,PACT,bnox,31,6,15,89.3%,109.3,1.69,1.69,31,109.3,,,
699,ChocoCheck,jeorgesnorts,21,6,21,65.5%,96.2,1.15,,,,,,
700,ChocoCheck,CLASIA,30,7,22,76.7%,98.6,1.47,1.47,,,,,7
701,Party Astronauts,djay,8,2,18,50.0%,65.8,0.60,,,,,,
702,paiN,saffee,21,2,8,84.2%,107.3,1.80,1.80,21,107.3,,9,
703,paiN,saffee,20,2,20,65.4%,72.0,0.97,,,,,,
704,paiN,hardzao,30,2,13,83.3%,121.0,1.86,1.86,30,121.0,,,4
705,Paradox,DannyG,24,2,6,82.4%,130.6,2.20,2.20,24,130.6,,,4
706,Paradox,chelleos,27,6,15,75.9%,92.9,1.51,1.51,27,92.9,,15,7
707,Paradox,chelleos,15,2,16,70.0%,79.9,1.01,,,,,,4
708,Paradox,chelleos,29,8,26,65.7%,98.1,1.30,1.30,,,,24,9
709,Paradox,nettik,22,7,17,65.5%,83.3,1.26,1.26,,,,,
710,Party Astronauts,PwnAlone,28,1,17,82.1%,94.2,1.46,1.46,28,94.2,,14,6
711,Party Astronauts,Jonji,27,7,27,77.8%,95.8,1.29,,,,,,9
712,Party Astronauts,djay,27,5,7,89.5%,133.9,2.20,2.20,27,133.9,,,
713,Party Astronauts,Infinite,10,5,16,70.0%,60.5,0.83,,,,5,,
714,Party Astronauts,djay,20,2,19,53.6%,72.5,0.95,,,,,,
