,team,Player,K,A,D,KAST,ADR,Rating,Best Rating,Most Kills,Most Damage,Most Assists,Most AWP Kills,Most First Kills
854,Liberty,remix,26,12,18,76.7%,103.1,1.49,1.49,,103.1,11,,
855,MIBR,boltz,16,4,5,91.7%,71.5,1.60,1.60,,,,,
856,Redragon,proSHOW,31,12,26,62.9%,96.5,1.32,1.32,31,96.5,,27,8
857,Redragon,proSHOW,30,10,9,83.3%,106.5,2.00,2.00,30,106.5,,21,6
858,SWS,gbb,26,8,22,75.9%,101.2,1.35,,,101.2,6,,
859,Redragon,proSHOW,24,2,7,84.2%,110.7,2.11,2.11,24,,,13,6
860,SWS,chay,24,6,20,75.0%,91.4,1.30,,,,,,7
861,Checkmate,bLitz,21,4,8,75.0%,83.5,1.58,1.58,21,83.5,,,
862,Team Buster,almazer,20,3,17,59.1%,76.5,1.01,,,,,,
863,Team Evelone192,poka,22,4,12,81.8%,106.0,1.65,1.65,,106.0,4,,
864,Team Evelone192,poka,25,3,11,95.2%,115.8,1.80,1.80,25,115.8,,,
865,Team Evelone192,deko,25,6,8,85.7%,122.0,2.02,2.02,25,122.0,5,10,5
866,Team StRoGo,Ax1Le,27,2,20,67.6%,89.3,1.28,,,89.3,,,6
867,Team StRoGo,ANASTAZE,25,8,20,79.3%,113.1,1.47,1.47,,113.1,,,
868,Team Evelone192,Aunkere,26,8,25,74.3%,91.2,1.17,,,,,,
869,Team Evelone192,Aunkere,28,4,18,73.3%,94.8,1.41,,,,,,
870,Team Shoke,Krad,25,2,10,80.0%,116.5,1.88,1.88,25,116.5,,,
871,Team Shoke,Shoke,19,2,19,63.3%,67.1,1.01,,,,,,
872,Team Buster,xsepower,24,6,12,85.2%,89.9,1.52,1.52,,,,14,
873,Team Buster,n0rb3r7,34,6,21,70.0%,102.9,1.60,1.60,34,102.9,,,9
874,Team Shoke,Krad,18,6,19,69.2%,82.8,1.15,,,,,,
875,Team Shoke,X5G7V,37,2,15,88.0%,123.7,1.91,1.91,37,123.7,,,
876,Team Shoke,X5G7V,20,7,22,67.9%,91.4,1.17,1.17,,91.4,,,5
877,ChocoCheck,nosraC,23,9,23,90.0%,92.8,1.28,1.28,,92.8,9,,
878,paiN,saffee,23,3,15,73.1%,100.0,1.50,1.50,23,100.0,,10,5
879,ATK,MisteM,23,4,18,63.0%,85.9,1.14,,,,,,
880,Northern Forces,sam,28,4,17,71.4%,90.6,1.40,1.40,28,90.6,,,
881,Third Impact,grape,18,3,20,66.7%,81.1,1.03,,,,,,
882,Third Impact,Danejoris,21,1,17,67.9%,78.5,1.15,,,,,,
883,Tricked,kiR,19,1,17,72.0%,72.3,1.09,,,,,,
884,Dignitas,f0rest,19,5,14,80.0%,71.1,1.25,,,,,,
885,Eternal Fire,XANTARES,29,1,6,90.0%,125.7,2.30,2.30,29,125.7,,,
886,Tricked,IceBerg,18,2,19,60.9%,89.8,1.01,,,,,,
887,Tricked,PR1mE,24,2,16,66.7%,107.9,1.49,,24,,,,
888,Tricked,PR1mE,20,6,18,80.0%,76.0,1.26,,,,,,7
889,Tricked,kwezz,35,2,17,75.9%,108.0,1.66,1.66,35,108.0,,,
890,MOUZ NXT,xertioN,18,6,12,80.8%,80.7,1.42,1.42,,,5,,
891,OneTap,ADRON,17,3,16,76.2%,92.1,1.16,,,,,,
892,SAW,stadodo,23,5,7,95.0%,107.9,2.08,2.08,23,107.9,,9,5
893,Sprout,raalz,18,8,15,75.0%,77.0,1.38,1.38,,,4,,5
894,Sprout,Marix,23,4,22,76.7%,82.7,1.19,,,,,,
895,Tricked,larsen,26,4,19,58.6%,103.2,1.26,,,103.2,,,
896,Tricked,larsen,34,0,22,66.7%,110.4,1.55,1.55,34,110.4,,27,
897,Tricked,larsen,34,0,22,66.7%,110.4,1.55,1.55,34,110.4,,27,
898,Wisla Krakow,SZPERO,24,2,13,81.0%,115.9,1.75,1.75,24,115.9,,,
899,Triumph,xCeeD,12,2,16,57.1%,69.6,0.84,,,,,,4
900,Triumph,cxzi,20,8,20,66.7%,90.6,1.14,,,,,9,
901,Entropiq,El1an,22,8,12,87.5%,89.2,1.47,1.47,22,,,12,
902,Entropiq,El1an,24,0,10,75.0%,108.7,1.85,1.85,24,,,10,
903,TYLOO,Summer,27,10,20,77.1%,90.0,1.27,1.27,,,,,
904,Anonymo,Snax,21,7,20,66.7%,87.7,1.16,,,,7,,
905,Anonymo,innocent,26,5,20,72.4%,103.2,1.38,1.38,26,103.2,,,
906,UNGENTIUM,GruBy,28,3,15,64.3%,97.0,1.50,1.50,28,,,,
907,GMT,DavCost,17,8,19,63.0%,87.4,1.03,,,,,,
908,GMT,JIaYm,33,7,18,90.0%,122.1,1.84,1.84,33,122.1,7,,5
909,UNGENTIUM,EXUS,26,4,19,65.5%,92.9,1.37,,26,92.9,,,5
910,UNGENTIUM,GruBy,20,0,14,54.5%,90.9,1.11,,20,90.9,,,
911,UNGENTIUM,Sidney,24,6,17,71.4%,89.2,1.29,1.29,,,,,
912,Dignitas,HEAP,25,4,11,77.3%,121.1,1.88,1.88,25,121.1,4,,
913,Endpoint,BOROS,24,5,16,85.7%,117.8,1.71,1.71,24,117.8,5,,
914,Eternal Fire,woxic,33,9,21,75.0%,94.9,1.39,1.39,33,94.9,,,
915,Finest,kreaz,40,3,30,68.8%,89.2,1.27,,,,,,7
916,GamerLegion,iM,23,7,22,72.4%,102.0,1.22,,,102.0,7,,
917,GamerLegion,RuStY,15,10,16,65.4%,73.3,1.06,,,,,,
918,hxh,ROCKET,24,3,19,71.4%,86.0,1.31,,,,,,8
919,Unique,dukefissura,21,4,25,65.5%,83.4,1.10,,,,,,8
920,Unique,dukefissura,30,2,17,73.1%,102.5,1.47,1.47,30,102.5,,,
